Bruins notebook Danton Heinen getting the job done on Boston s top line
Tampa Bay Lightning at Boston Bruins Streak vs Streak
One of the players at the Bruins vs Tampa game just shouted That s f king personal And you could very CLEARLY hear it And I really hope it was a Boston Bruin because you don t poke the bear NBC is in for some trouble 😂😂
RT HUG FOUNDATION OF MA INC is fundraising for Boston Bruins Alumni vs HUG Foundation Ice Huggers
RT ARE YOU ALL IN ON THE BOSTON BRUINS RT YES LIKE YEA Comment INDEED
Riskier bc it’s against TB but I like the Boston Bruins to score first 1 2 Unit
RT ARE YOU ALL IN ON THE BOSTON BRUINS RT YES LIKE YEA Comment INDEED
The Bruins are outshooting TB 11 4 without their top offensive player Tampa has been healthy all season They re not as far ahead of Boston as people think
and taking over the Boston Bruins game on NBC Sports 🍀
I tell you in the first bit of this game i ve learned so much about the Boston Bruins that I didn t know Narrator I knew it I hear about it everytime they are on tv
HUG FOUNDATION OF MA INC is fundraising for Boston Bruins Alumni vs HUG Foundation Ice Huggers
boston bruins play as a team they are worth my attention unlike the celtics
The Lightning and Bruins remain without a goal with 9 13 left in the first period Shots are 7 3 for Boston
RT ARE YOU ALL IN ON THE BOSTON BRUINS RT YES LIKE YEA Comment INDEED
RT ARE YOU ALL IN ON THE BOSTON BRUINS RT YES LIKE YEA Comment INDEED
RT ARE YOU ALL IN ON THE BOSTON BRUINS RT YES LIKE YEA Comment INDEED
RT ARE YOU ALL IN ON THE BOSTON BRUINS RT YES LIKE YEA Comment INDEED
Go Boston Bruins 😊😊😊😊😊😊
RT ARE YOU ALL IN ON THE BOSTON BRUINS RT YES LIKE YEA Comment INDEED
Boston Bruins vs Tampa Bay Lightning Hockey HD Broadcast 01 Mar NHL
Boston Bruins vs Tampa Bay Lightning Hockey HD Broadcast 01 Mar NHL
Bruins have lost their last 2 games vs the Lightning including a 3 2 loss in Tampa on Dec 6 1st of 4 meetings this season Boston is 13 3 0 in their last 16 home games vs TB The Lightning beat the B s in 5 games in the 2nd rd last spring
Everyone talking about the Celtics struggles but how about we talk about how the bruins are the 2nd best team out of 31 NHL teams and 3rd best team out of 4 Boston teams
RT drazzari
drazzari corner Can you schmooze a mohair Good grief it’s not even PS time yet amp your zany tweets are already provoking me to open another bottle of wine thank god the Tampa Bay Lightning are playing the Boston Bruins tonight must keep my sanity for the power plays 🏒😬🍷😎
RT ARE YOU ALL IN ON THE BOSTON BRUINS RT YES LIKE YEA Comment INDEED
I expect to see Boston to match the Bergeron line against the Point line all night The Point line dominated the Bruins in the playoffs
RT ARE YOU ALL IN ON THE BOSTON BRUINS RT YES LIKE YEA Comment INDEED
Boston Bruins e Tampa Bay Lightning
I hate the Bruins but we can all agree that this video is fucking messed up because that’s Boston’s song You tried
RT ARE YOU ALL IN ON THE BOSTON BRUINS RT YES LIKE YEA Comment INDEED
Puck drop in Boston Bolts vs Bruins
Boston Bruins 120 underway
Game on from Boston Tampa with the early possession and the Bu s ice it after a few in tight shots Poor start for the Bruins
Worse than Philly Maybe Boston has a sense of entitlement with all the Celtics Bruins and lately Patriots and Red Sox Championships The best thing I can say about Sox fans is at least they’re not Yankees fans
