Tweet,Author,Date
"RT @HockeyMagazines: Bonus Flip Book of the Day

Alberta Oilers vs Winnipeg Jets WHA Program October 17 1972

(Click on link; not picture f…",Jeff Henson,2019-03-01 00:54:05
"Attending a #HockeyNight in Canada game at the Scotiabank Arena. This group will be enjoy watching two really exciting teams, the Toronto Maple Leafs and Winnipeg Jets. Go team! https://t.co/npiyILyzgs",LanceLave,2019-03-01 00:37:58
@reporterchris Last time I've heard a crowd that loud was when the Winnipeg Jets opened their first new season. And maybe even louder when the opened their first playoff game.,Kevin Jordan,2019-03-01 00:31:08
RT @NHLJets: Thank you to the past Captains and #NHLJets Hall of Famers who have joined us tonight as we welcome Ab McDonald &amp; Lars-Erik Sj…,Eric Clayton,2019-03-01 00:27:45
RT @berezin_goal: Islanders legend Butch Goring on the radio supporting John Tavares moving to Toronto. Goring says he would have loved to…,🆂🅰🆁🅰🅷,2019-03-01 00:13:39
RT @berezin_goal: Islanders legend Butch Goring on the radio supporting John Tavares moving to Toronto. Goring says he would have loved to…,amezzicoscie,2019-03-01 00:07:51
Papers Update:  31 Thoughts (Jets pursuit of (Wayne Simmonds &amp; teams interest in Matt Hendricks).  https://t.co/adyvFe7gUg,Illegal Curve Hockey,2019-03-01 00:00:00
RT @berezin_goal: Islanders legend Butch Goring on the radio supporting John Tavares moving to Toronto. Goring says he would have loved to…,K.Y,2019-02-28 23:48:55
RT @berezin_goal: Islanders legend Butch Goring on the radio supporting John Tavares moving to Toronto. Goring says he would have loved to…,Tam Truong,2019-02-28 23:41:58
RT @WillyD1025: Approaching on the prairie.  #Preds at Jets tomorrow night in Winnipeg.  Where does the land end and the sky start? https:/…,BP,2019-02-28 23:34:57
ICYMI:  Coach Maurice provided a health update on Bogdan Kiselevich.  https://t.co/j7A0l8hJl1,Illegal Curve Hockey,2019-02-28 23:30:00
"Islanders legend Butch Goring on the radio supporting John Tavares moving to Toronto. Goring says he would have loved to play for his hometown Winnipeg Jets. 

Bahahaha. https://t.co/TRg9NHUZ5J",Sergei,2019-02-28 23:12:43
RT @WillyD1025: Approaching on the prairie.  #Preds at Jets tomorrow night in Winnipeg.  Where does the land end and the sky start? https:/…,ESPN 94.9 Game 2,2019-02-28 23:12:40
@PredsNHL The irony of the Winnipeg jets without an airport,Sean,2019-02-28 22:52:32
@OrangeGrove55 @WC_Intern “Sports” is general. How much Winnipeg Jets news are you getting? Or San Jose Sharks?,Paulie B. Parker,2019-02-28 22:51:28
RT @WillyD1025: Approaching on the prairie.  #Preds at Jets tomorrow night in Winnipeg.  Where does the land end and the sky start? https:/…,Greg Krepps,2019-02-28 22:48:20
Approaching on the prairie.  #Preds at Jets tomorrow night in Winnipeg.  Where does the land end and the sky start? https://t.co/unUz9JcZqe,Willy Daunic,2019-02-28 22:46:02
"Full Jets story via the Practice Report including audio from Lowry, Little, Lindholm, Kulikov as well as coach Maurice.  https://t.co/j7A0l8zkcz",Illegal Curve Hockey,2019-02-28 22:00:00
What the addition of 5 new players means for the soaring Winnipeg Jets #winnipeg #gojetsgo #bhivelabs #bhivenectar #bhivechat #bhive https://t.co/GVSmcMIKxd,BHIVE Jets Bee,2019-02-28 21:21:12
RT @BlueshirtBanter: The Rangers got their first glimpse of Brendan Lemieux in a #NYR jersey last night. To learn more about him and what h…,Joe Fortunato,2019-02-28 20:49:43
"Following practice Coach Maurice spoke Hayes, the energy new players bring, line changes, Jets/Preds rivalry getting both teams up for the game, keeping team D simple, what he wants out of 81/12/27, moving Little to wing, thoughts on top line and more,   https://t.co/j7A0l8hJl1",Illegal Curve Hockey,2019-02-28 20:43:18
"@adamsavage3 As long as it's a Canadian team, you're good. My best friend -- from Winnipeg! -- is a Sharks fan. She keeps trying to convert me but I'll always be a Jets girl. 🙂",Debbie Gajdosik,2019-02-28 20:40:31
"The Rangers got their first glimpse of Brendan Lemieux in a #NYR jersey last night. To learn more about him and what he could bring to the lineup, here’s a scouting report from @AdamZHerman

https://t.co/oCwkpZZwh4",BlueshirtBanter,2019-02-28 20:30:00
@ATTSportsNetPIT Potash is the best. Went up to him at a restaurant years ago in Winnipeg when I was in town to watch the Pens play the Jets and we chatted for a while. Next night he recognized me behind the glass for warmup and asked how my steak was 😂 I’ll never forget it! https://t.co/NXp3k95Snz,Quinn Mell-Cobb,2019-02-28 20:21:22
Took a 20 min bus ride to the southend &amp; me and the driver literally talked about the NHL and the leafs the whole time just cuz I'm rocking my Winnipeg Jets hat. Canada at its finest,💧Poseidon💧,2019-02-28 20:19:33
@mattythehammer @dongange @doctor_petsche @toddrose24 @empowercanadian Winnipeg vaccines are made from the sweat gathered from Jets plyers’ cups after every game.,Carlene Rummery,2019-02-28 20:16:17
"RT @GreenZoneSK: MATT HENDRICKS JOINS THE GREEN ZONE

The Winnipeg Jets traded for him at the Trade Deadline on Monday. Today, Matt Hendric…",Warren Woods,2019-02-28 20:09:12
"RT @RickRalphTSN: What is the worst city to visit on the road?  Winnipeg 38%, Buffalo 15%, Ottawa 12%, Edmonton 8%, Carolina 5%.  Overrated…",John Martynuk,2019-02-28 19:58:07
RT @WpgHockTalk: Winnipeg Hockey Talk Podcast 087:  Trade Deadline &gt;&gt;&gt;&gt;  https://t.co/mF1IcjXM0V with Mitch Kasprick and Darryl Manchulenko…,Winnipeg Hockey Talk,2019-02-28 19:53:26
RT @brent_bellamy: A calender poster of the 1982-83 Winnipeg Jets. Lots of moustaches. https://t.co/50q45HDAQ3,Nicole,2019-02-28 19:21:03
RT @brent_bellamy: Ticket stubs from the very first Winnipeg Jets game in 1972 - against the Ottawa Nationals. https://t.co/1wG1hi7j2a,Nicole,2019-02-28 19:19:39
RT @brent_bellamy: Funny. I was flying with the Jets 1.0 (when they flew coach) goalie Tim Cheveldae often let goals in between his legs. W…,Nicole,2019-02-28 19:16:09
