Tweet,Author,Date
@ryan_mut23 No thoughts on the NHL's VERY GOOD Tampa Bay Lightning. My judgmental eyes will zero in on the situation with them in a month when playoffs start. No excuse to not hoist the Cup! https://t.co/wMM3COfFKP,NHL Trump,2019-03-01 04:15:21
Tired Tampa Bay Lightning team dominated by Boston Bruins in 4-1 loss https://t.co/RvCAE0mZFR #TampaBayLightning,Lightnings Fans,2019-03-01 04:13:15
"Final Score From TD Garden 
Tampa Bay Lightning 1
Boston Bruins 4",Derek Fox,2019-03-01 04:12:38
"Meanwhile (@StephenAtHome voice), Boston is now only 17 points behind Tampa Bay with a game in hand. Haha the Lightning haven't wrapped up the Atlantic Division quite yet (just joking, relax). 

#NHLBruins #Lightning #MetroBoston",Richard Slate,2019-03-01 04:11:57
Tampa Bay Lightning suffers first regulation loss in a month to the Boston Bruins - National Hockey League News - https://t.co/1kWPF0jGDE https://t.co/ktFhTi0i1K,MLB &NHL News Now,2019-03-01 04:09:06
"Tampa Bay had a 19 pt lead over the 7th place Bruins on Feb 2nd. Since then the 2nd place Bruins have gone a scorching 11-0-2 and cut the Lightning’s lead to a measly 17 points😉
#NHLBruins https://t.co/gFBuNEWDjr",Joe,2019-03-01 04:07:20
Tampa Bay Lightning suffers first regulation loss in a month to the Boston B... #Bolts  https://t.co/trYBIrBMB1 https://t.co/Ie268iim4J,Lightning Report,2019-03-01 04:05:11
Tired Tampa Bay Lightning team dominated by Boston Bruins in 4-1 loss #TBLightning  https://t.co/czGoIyQ3Qs https://t.co/Cl0MWwfjnM,Lightning Report,2019-03-01 04:05:10
RT @BoltsByTheBay: An exhausted #TBLightning team suffers their first regulation loss in a month at the hands of the Boston Bruins. #TBLvsB…,Tasha St. Pierre,2019-03-01 04:03:50
"RT @AP_Sports: Late onslaught lifts Bruins to 4-1 win over Lightning, snapping Tampa Bay's franchise-best 10-game win streak.

by @khightow…",Kyle Hightower,2019-03-01 04:01:05
"Boston had 66 shot attempts (41 on goal, 16 blocked, 9 missed net) to 50 for Tampa Bay (21 on goal, 12 blocked, 17 missed net). 2 more Bruins-Lightning games in the regular season which I can pretty much guarantee will be more competitive 

#NHLBruins #Lightning #MetroBoston",Richard Slate,2019-03-01 03:59:25
"Late onslaught lifts Bruins to 4-1 win over Lightning, snapping Tampa Bay's franchise-best 10-game win streak.

by @khightower https://t.co/HahOKCSwAx",AP Sports,2019-03-01 03:59:02
@NHLBruins @CDWCorp #NHLBRUINS 4-1 IN HOUSE IN BOSTON IN TD GARDEN VS #GOBOLTS TAMPA BAY LIGHTNING IN BOSTON,Jorge Luis Canales,2019-03-01 03:53:59
"Boston won the battle of special teams this evening which is particularly impressive since Tampa Bay was No. 1 in both: B's PP got a goal and their PK was 3-for-3

#NHLBruins #Lightning #MetroBoston",Richard Slate,2019-03-01 03:48:47
Tired Tampa Bay Lightning team dominated by Boston Bruins in 4-1 loss https://t.co/fY65h9hFjh via @RawCharge,Ron Stewart,2019-03-01 03:48:10
Red-hot Bruins streak past Tampa Bay Lightning: https://t.co/lm4DLt7VS5,Worcester T&G Sports,2019-03-01 03:48:06
"Sizzling Bruins break through late, pound NHL-best Tampa Bay at TD Garden https://t.co/sFMEld2HVH https://t.co/i6jxqjM6Uc",Boston.com Bruins News,2019-03-01 03:47:14
"Sizzling Bruins break through late, pound NHL-best Tampa Bay at TD Garden https://t.co/0fFVwZMejG https://t.co/o9JgqAm4Dw",Boston.com Sports,2019-03-01 03:47:06
"Sizzling Bruins break through late, pound NHL-best Tampa Bay at TD Garden https://t.co/j8GV4LJx5a https://t.co/xvSv5glQUi",Boston.com,2019-03-01 03:46:51
RT @BoltsByTheBay: An exhausted #TBLightning team suffers their first regulation loss in a month at the hands of the Boston Bruins. #TBLvsB…,Benjamin Ebert,2019-03-01 03:45:58
"#NHL Toronto Maple Leafs 1 - 6 New York Islanders, Philadelphia Flyers 3 - 4 Columbus Blue Jackets (OT), Tampa Bay Lightning 1 - 4 Boston Bruins, Edmonton Oilers 4 - 2 Ottawa Senators https://t.co/z85Ko0SECh",Matty's Sports News,2019-03-01 03:44:58
"RT @FOXSportsFL: .@TBLightning's franchise-best 10-game winning streak snapped by Bruins, 4-1.

#GoBolts #NHL  

https://t.co/jygrNB3jN2",FOX Sports Bolts,2019-03-01 03:42:27
